id_checkin,aluno_id,unidade,duracao_min,pontuacao_desempenho
50370,169,Norte,59,82.2
50445,81,Sul,72,63.9
50428,141,Centro,46,65.4
50250,34,Sul,52,82.7
50055,160,Sul,73,65.3
50146,118,Sul,53,62.2
50250,34,Sul,52,82.7
50003,187,Centro,31,62.5
50227,68,Centro,40,79.4
50450,91,Centro,90,71.0
50199,118,Norte,87,76.3
50048,4,Norte,73,57.3
50281,128,Centro,61,62.0
50042,175,Norte,84,59.1
50115,130,Norte,51,83.7
50026,207,Norte,62,76.9
50435,111,Sul,30,89.8
50088,166,Norte,52,82.7
50365,169,Centro,71,44.5
50242,68,Sul,75,79.9
50461,56,Norte,78,67.8
50129,71,Norte,91,63.2
50012,149,Centro,86,73.5
50419,159,Sul,72,58.6
50152,55,Norte,64,46.6
50079,209,Norte,58,58.2
50275,116,Norte,55,83.5
50076,53,Centro,38,62.7
50466,49,Centro,59,71.4
50089,119,Sul,89,52.0
50282,68,Centro,45,77.5
50174,170,Centro,52,48.9
50293,213,Centro,54,81.9
50366,98,Norte,68,86.5
50024,51,Sul,89,73.2
50161,166,Centro,74,72.2
50360,6,Norte,42,56.5
50182,82,Norte,78,77.1
50313,9,Sul,88,63.2
50119,159,Norte,38,64.6
50345,117,Sul,56,64.9
50006,130,Centro,72,61.5
50010,10,Centro,30,62.9
50222,32,Centro,55,70.8
50379,91,Norte,58,70.9
50168,171,Norte,38,77.6
50081,69,Sul,41,72.2
50241,52,Sul,38,66.0
50342,168,Sul,33,83.1
50277,74,Centro,73,71.0
50477,164,Norte,41,62.2
50305,52,Centro,52,52.7
50238,177,Sul,32,69.4
50383,166,Sul,86,58.3
50237,125,Norte,39,49.3
50285,181,Sul,80,62.2
50396,51,Sul,43,70.5
50279,33,Sul,56,77.3
50454,32,Sul,55,53.6
50083,107,Centro,51,73.6
50092,196,Norte,53,38.2
50045,178,Sul,34,73.0
50317,144,Centro,42,65.9
50046,196,Norte,74,83.6
50185,36,Norte,60,59.6
50247,9,Centro,91,84.4
50299,37,Norte,35,83.5
50269,214,Norte,45,69.7
50015,45,Norte,40,68.5
50406,161,Sul,50,85.7
50405,54,Sul,90,78.5
50058,218,Sul,34,80.8
50219,41,Centro,82,73.7
50350,47,Centro,38,47.4
50059,168,Sul,62,79.8
50448,42,Centro,72,86.5
50039,4,Norte,83,73.4
50261,108,Centro,59,74.4
50469,150,Sul,31,70.0
50025,202,Centro,67,78.7
50288,144,Centro,93,56.7
50433,106,Norte,59,70.1
50084,138,Norte,30,89.3
50061,193,Sul,89,66.8
50051,125,Norte,85,68.1
50426,148,Centro,32,60.2
50286,160,Norte,61,71.5
50439,146,Norte,57,61.5
50011,136,Sul,47,83.3
50240,85,Centro,56,81.7
50322,142,Norte,33,66.4
50017,121,Sul,72,78.6
50378,174,Centro,64,65.3
50067,41,Centro,45,79.0
50280,148,Norte,40,59.2
50124,50,Centro,71,81.7
50209,40,Centro,89,67.9
50403,168,Centro,34,71.2
50096,131,Norte,78,78.6
50068,219,Norte,86,55.2
50335,190,Sul,34,74.2
50213,51,Norte,35,56.8
50106,8,Norte,39,51.3
50004,166,Sul,53,62.5
50422,184,Norte,77,89.3
50102,97,Norte,76,84.7
50279,33,Sul,56,77.3
50253,200,Norte,77,90.8
50251,193,Centro,79,78.2
50093,215,Norte,72,65.9
50159,40,Sul,52,84.4
50307,199,Sul,81,74.7
50001,173,Norte,77,89.4
50037,16,Centro,42,80.4
50382,85,Norte,55,79.6
50166,150,Norte,65,80.4
50316,25,Norte,34,82.9
50002,5,Centro,55,71.2
50095,164,Sul,75,67.2
50023,184,Centro,65,48.2
50259,84,Centro,48,78.4
50330,191,Centro,78,73.6
50211,135,Sul,59,76.7
50133,104,Norte,88,69.8
50436,26,Norte,81,77.0
50278,149,Centro,57,44.5
50142,181,Sul,60,61.9
50441,190,Norte,35,72.1
50301,145,Centro,57,77.0
50229,198,Sul,49,63.8
50344,168,Norte,80,57.5
50246,101,Sul,76,83.5
50427,169,Centro,71,80.7
50085,163,Norte,55,84.5
50249,69,Sul,33,87.9
50154,11,Sul,75,60.3
50181,83,Norte,43,50.8
50074,108,Norte,56,52.8
50199,118,Norte,87,76.3
50197,170,Norte,86,81.2
50128,171,Centro,72,62.7
50458,155,Norte,40,75.5
50020,4,Centro,43,70.1
50359,105,Centro,74,50.2
50320,197,Sul,57,59.3
50382,85,Norte,55,79.6
50291,72,Norte,52,67.9
50097,26,Centro,50,59.8
50475,55,Centro,50,77.9
50476,34,Norte,720,59.5
50290,79,Sul,79,74.1
50252,148,Centro,52,59.1
50069,15,Sul,62,57.4
50087,54,Sul,70,58.1
50114,206,Centro,82,68.8
50357,79,Centro,78,78.6
50432,188,Sul,31,67.2
50375,29,Sul,34,70.4
50196,207,Centro,81,64.7
50167,175,Norte,43,80.8
50104,157,Norte,36,73.8
50420,212,Sul,35,57.7
50313,9,Sul,88,63.2
50077,152,Centro,93,72.0
50192,50,Centro,74,72.2
50054,118,Centro,73,43.1
50019,13,Norte,79,82.9
50474,76,Centro,62,86.3
50178,121,Sul,74,62.3
50257,101,Sul,52,73.1
50255,25,Sul,94,65.4
50215,130,Sul,67,59.7
50415,161,Sul,58,76.1
50193,33,Centro,38,53.8
50130,66,Sul,78,69.2
50459,215,Norte,50,63.0
50100,171,Sul,88,70.4
50171,5,Sul,60,66.1
50438,5,Centro,61,67.6
50376,101,Sul,44,69.8
50457,61,Centro,86,75.0
50143,158,Norte,42,87.6
50354,2,Centro,87,69.4
50336,135,Norte,79,65.0
50202,64,Sul,94,73.3
50200,206,Norte,37,56.8
50315,109,Centro,66,75.1
50148,27,Norte,39,67.1
50268,125,Centro,77,74.3
50121,43,Sul,65,70.3
50136,112,Norte,71,41.7
50255,25,Sul,94,65.4
50447,11,Norte,50,75.8
50057,208,Centro,79,60.6
50194,138,Sul,73,55.6
50270,133,Centro,57,80.1
50390,189,Centro,31,84.6
50063,114,Sul,71,68.7
50070,153,Sul,93,49.0
50363,188,Sul,38,74.5
50271,144,Norte,77,83.6
50429,70,Centro,55,66.9
50266,29,Sul,30,92.7
50371,136,Centro,80,75.0
50430,134,Centro,72,77.3
50169,164,Centro,30,61.1
50036,149,Centro,84,89.6
50243,65,Centro,35,72.2
50082,154,Sul,89,104.3
50260,109,Sul,48,58.6
50348,190,Centro,56,68.0
50460,46,Centro,76,75.6
50022,83,Centro,71,64.1
50337,62,Centro,51,58.8
50308,203,Sul,60,73.3
50472,104,Sul,90,69.0
50239,182,Centro,37,73.4
50220,125,Sul,91,64.7
50013,13,Centro,82,73.2
50465,63,Norte,74,49.8
50160,97,Centro,34,74.8
50072,129,Norte,32,73.0
50177,131,Centro,94,52.4
50276,52,Centro,54,94.8
50367,5,Sul,43,80.8
50035,185,Centro,85,63.0
50326,99,Norte,800,50.9
50207,67,Sul,74,72.7
50225,7,Norte,47,95.3
50120,160,Centro,60,64.9
50216,56,Sul,36,68.9
50029,206,Sul,615,60.3
50347,115,Norte,50,68.6
50188,142,Centro,65,66.0
50464,102,Centro,38,82.9
50325,213,Norte,39,72.8
50180,105,Sul,42,67.3
50233,82,Sul,48,74.3
50404,215,Norte,89,67.4
50401,66,Sul,94,58.2
50165,171,Centro,44,69.5
50126,210,Norte,48,54.1
50357,79,Centro,78,78.6
50264,161,Sul,80,60.9
50064,98,Norte,41,69.1
50424,218,Sul,65,68.4
50214,78,Norte,58,60.0
50443,31,Norte,47,66.1
50384,28,Centro,89,67.4
50338,72,Norte,76,63.9
50423,52,Sul,43,82.5
50175,103,Norte,47,67.2
50398,142,Norte,60,70.8
50416,7,Sul,73,67.0
50172,131,Centro,58,67.6
50332,157,Norte,92,54.7
50032,192,Norte,75,63.3
50031,15,Sul,40,75.1
50232,22,Norte,85,76.0
50235,127,Centro,72,84.4
50374,2,Sul,65,61.2
50397,66,Centro,65,75.0
50408,120,Sul,86,61.2
50187,82,Sul,84,59.2
50173,60,Norte,32,94.4
50389,113,Norte,64,61.9
50462,28,Sul,52,35.6
50303,218,Norte,40,49.5
50038,57,Centro,49,65.7
50265,5,Centro,77,68.1
50452,150,Centro,44,70.1
50014,179,Norte,36,61.1
50094,218,Norte,53,77.8
50016,196,Sul,66,74.3
50391,193,Sul,53,64.3
50341,25,Centro,46,60.7
50217,84,Sul,56,77.4
50289,91,Centro,58,66.0
50413,187,Centro,62,53.9
50463,159,Sul,38,64.2
50078,189,Sul,86,80.3
50091,145,Sul,94,72.4
50387,129,Sul,42,44.6
50183,192,Norte,50,78.0
50380,189,Norte,67,70.4
50323,182,Norte,62,61.6
50267,185,Sul,60,86.6
50190,157,Centro,59,71.1
50104,157,Norte,36,73.8
50109,27,Norte,49,93.8
50364,20,Sul,49,48.3
50356,4,Sul,54,52.3
50135,185,Norte,37,72.1
50245,67,Centro,86,53.0
50369,100,Sul,44,70.0
50274,73,Norte,57,48.1
50147,45,Centro,47,64.6
50105,95,Sul,93,70.8
50294,146,Sul,46,37.1
50324,93,Norte,52,75.1
50258,150,Centro,31,49.9
50287,93,Centro,93,65.1
50180,105,Sul,42,67.3
50179,202,Centro,89,63.7
50361,109,Norte,33,70.1
50164,186,Centro,93,56.3
50110,89,Centro,34,77.0
50388,171,Norte,46,80.7
50256,199,Sul,51,62.0
50314,206,Sul,58,61.9
50005,87,Norte,75,62.2
50144,33,Centro,41,63.0
50103,33,Sul,36,59.8
50210,113,Sul,56,84.2
50385,71,Sul,37,66.5
50268,125,Centro,77,74.3
50041,6,Norte,35,37.1
50362,48,Norte,52,60.1
50137,201,Centro,70,92.6
50377,88,Norte,32,66.7
50254,123,Centro,80,76.4
50146,118,Sul,53,62.2
50125,6,Sul,63,64.5
50086,156,Sul,59,74.4
50468,105,Sul,82,60.9
50030,71,Norte,83,76.6
50431,144,Centro,30,67.7
50065,183,Norte,87,67.7
50203,1,Norte,67,62.5
50205,112,Sul,40,75.3
50044,128,Norte,68,65.7
50027,23,Centro,49,75.1
50080,114,Norte,43,63.4
50437,20,Norte,34,79.6
50113,37,Norte,60,78.8
50399,95,Norte,56,80.2
50204,149,Sul,59,66.7
50007,181,Norte,94,54.6
50208,141,Sul,83,89.1
50158,135,Norte,85,57.8
50112,19,Centro,76,32.7
50411,170,Norte,89,73.7
50446,202,Sul,65,87.8
50231,183,Norte,32,60.7
50228,177,Norte,59,58.5
50008,199,Norte,94,52.0
50073,12,Norte,43,76.1
50400,190,Sul,71,61.8
50118,94,Centro,67,80.2
50121,43,Sul,65,70.3
50189,12,Sul,82,95.8
50238,177,Sul,32,69.4
50206,63,Centro,48,65.8
50355,60,Sul,89,82.2
