id_pedido,cliente,produto,valor,data_pedido
11066,Cliente 400,Mochila,268.3,2024-05-23
11034,Cliente 103,Meia,364.41,2024-05-31
10193,Cliente 263,Meia,275.11,2024-01-11
11181,Cliente 266,Meia,258.78,2024-07-02
10164,Cliente 141,Meia,131.55,2024-02-26
10471,Cliente 163,Mochila,31.73,2024-04-03
10565,Cliente 4,Tênis,380.35,2024-04-03
10003,Cliente 111,Camiseta,154.25,2024-03-08
10741,Cliente 136,Tênis,386.18,2024-03-03
11027,Cliente 417,Mochila,172.47,2024-03-28
10095,Cliente 45,Jaqueta,103.36,2024-03-03
10880,Cliente 232,Tênis,287.91,2024-07-03
10464,Cliente 446,Jaqueta,433.61,2024-03-04
10981,Cliente 337,Jaqueta,248.68,2024-05-15
10710,Cliente 199,Tênis,479.15,2024-07-05
10526,Cliente 375,Meia,123.14,2024-06-09
11144,Cliente 238,Boné,175.01,2024-03-28
10227,Cliente 75,Tênis,109.95,2024-04-14
10873,Cliente 365,Camiseta,58.43,2024-01-04
10168,Cliente 229,Jaqueta,118.31,2024-05-26
10210,Cliente 495,Tênis,67.63,2024-04-17
10681,Cliente 346,Jaqueta,427.8,2024-02-27
10539,Cliente 349,Tênis,412.44,2024-03-29
10147,Cliente 27,Tênis,358.11,2024-01-30
10856,Cliente 303,Camiseta,116.06,2024-07-23
10318,Cliente 272,Camiseta,367.52,2024-05-10
10638,Cliente 104,Boné,370.19,2024-07-04
10198,Cliente 339,Meia,66.91,2024-04-18
10753,Cliente 485,Meia,222.81,2024-01-20
11018,Cliente 45,Boné,453.42,2024-03-30
10073,Cliente 19,Boné,414.47,2024-05-26
10600,Cliente 282,Boné,95.46,2024-02-21
11189,Cliente 187,Camiseta,150.19,2024-06-08
10523,Cliente 313,Meia,248.17,2024-02-17
11012,Cliente 193,Meia,120.61,2024-01-13
10137,Cliente 341,Tênis,280.84,2024-05-08
10624,Cliente 30,Meia,278.82,2024-07-21
11175,Cliente 185,Meia,72.28,2024-07-18
10387,Cliente 14,Jaqueta,45.82,2024-07-22
10944,Cliente 23,Camiseta,101.18,2024-07-20
10091,Cliente 180,Jaqueta,181.83,2024-01-05
11111,Cliente 294,Jaqueta,95.23,2024-01-02
10450,Cliente 416,Meia,272.69,2024-04-09
11122,Cliente 243,Jaqueta,92.2,2024-05-10
10328,Cliente 456,Tênis,105.28,2024-04-03
10831,Cliente 121,Mochila,163.19,2024-02-01
10609,Cliente 299,Mochila,196.88,2024-04-18
10560,Cliente 328,Camiseta,251.68,2024-04-11
10626,Cliente 108,Mochila,300.29,2024-05-10
10376,Cliente 387,Boné,315.97,2024-06-20
10540,Cliente 495,Meia,379.85,2024-02-23
11087,Cliente 62,Camiseta,387.81,2024-04-16
10115,Cliente 457,Mochila,48.11,2024-05-24
10812,Cliente 393,Mochila,307.1,2024-06-07
10407,Cliente 226,Mochila,106.61,2024-05-06
10639,Cliente 53,Tênis,423.47,2024-02-13
10891,Cliente 69,Mochila,69.61,2024-02-03
10987,Cliente 64,Camiseta,477.91,2024-02-27
10919,Cliente 495,Tênis,149.23,2024-02-16
10717,Cliente 109,Jaqueta,134.22,2024-03-12
10078,Cliente 388,Jaqueta,294.92,2024-06-16
10886,Cliente 334,Camiseta,76.0,2024-01-18
10027,Cliente 424,Camiseta,450.79,2024-07-23
10566,Cliente 283,Boné,190.35,2024-06-17
10583,Cliente 144,Camiseta,415.14,2024-02-20
10592,Cliente 193,Tênis,250.05,2024-02-16
10885,Cliente 313,Camiseta,490.14,2024-06-29
10932,Cliente 496,Mochila,488.34,2024-06-20
10856,Cliente 303,Camiseta,116.06,2024-07-23
11154,Cliente 214,Camiseta,388.7,2024-07-23
10965,Cliente 396,Boné,316.04,2024-01-03
10843,Cliente 290,Boné,103.7,2024-01-22
10488,Cliente 326,Meia,343.58,2024-04-26
10909,Cliente 100,Mochila,252.79,2024-03-25
10131,Cliente 186,Jaqueta,211.28,2024-01-03
10235,Cliente 95,Mochila,71.7,2024-03-15
10478,Cliente 27,Camiseta,449.67,2024-04-10
10042,Cliente 448,Tênis,432.62,2024-04-16
10463,Cliente 111,Meia,357.36,2024-02-18
10904,Cliente 172,Tênis,72.93,2024-02-04
10558,Cliente 111,Mochila,240.12,2024-03-22
10109,Cliente 190,Boné,225.5,2024-02-27
11047,Cliente 281,Mochila,491.55,2024-03-29
10381,Cliente 225,Jaqueta,445.22,2024-03-12
10603,Cliente 422,Meia,266.39,2024-02-22
10692,Cliente 474,Meia,144.94,2024-02-12
11132,Cliente 114,Mochila,291.32,2024-01-26
10794,Cliente 20,Mochila,56.97,2024-01-13
10006,Cliente 49,Meia,142.82,2024-07-15
10197,Cliente 46,Boné,497.55,2024-03-27
10718,Cliente 97,Jaqueta,241.97,2024-02-14
11104,Cliente 85,Jaqueta,36.01,2024-01-18
10631,Cliente 151,Boné,199.37,2024-02-01
10933,Cliente 239,Boné,246.56,2024-04-08
10606,Cliente 1,Mochila,291.45,2024-05-17
10946,Cliente 468,Mochila,156.75,2024-01-18
10934,Cliente 479,Tênis,331.89,2024-06-15
10293,Cliente 33,Mochila,291.16,2024-02-03
10706,Cliente 485,Boné,463.86,2024-02-14
10950,Cliente 59,Boné,444.82,2024-07-14
10330,Cliente 462,Jaqueta,283.44,2024-04-25
10829,Cliente 108,Boné,412.89,2024-05-22
10674,Cliente 61,Jaqueta,283.31,2024-01-11
10720,Cliente 52,Mochila,418.31,2024-01-28
10312,Cliente 468,Camiseta,370.98,2024-03-01
10782,Cliente 27,Meia,71.47,2024-01-06
11038,Cliente 110,Meia,311.21,2024-02-26
10963,Cliente 354,Tênis,188.52,2024-05-10
10301,Cliente 272,Jaqueta,258.84,2024-01-07
10083,Cliente 226,Jaqueta,61.64,2024-03-10
11098,Cliente 217,Mochila,359.5,2024-06-17
10411,Cliente 288,Camiseta,458.64,2024-02-21
10554,Cliente 436,Meia,62.85,2024-07-11
10004,Cliente 276,Camiseta,48.49,2024-01-16
10051,Cliente 325,Meia,443.22,2024-01-17
10577,Cliente 465,Meia,475.76,2024-04-29
10998,Cliente 273,Meia,149.84,2024-05-19
10742,Cliente 226,Mochila,471.49,2024-02-28
10654,Cliente 179,Jaqueta,347.31,2024-05-03
10126,Cliente 494,Meia,282.37,2024-07-06
10509,Cliente 294,Meia,137.22,2024-01-16
10139,Cliente 280,Mochila,207.97,2024-05-18
10678,Cliente 377,Boné,65.22,2024-03-14
10505,Cliente 212,Camiseta,416.74,2024-04-19
11192,Cliente 373,Meia,52.16,2024-04-21
10849,Cliente 253,Camiseta,77.26,2024-04-04
10269,Cliente 435,Meia,100.68,2024-01-10
10314,Cliente 427,Mochila,355.07,2024-06-06
10162,Cliente 496,Meia,47.02,2024-04-02
10287,Cliente 291,Boné,310.23,2024-06-19
10815,Cliente 440,Boné,201.54,2024-07-07
10255,Cliente 443,Boné,202.19,2024-02-01
10169,Cliente 399,Tênis,189.24,2024-02-20
10573,Cliente 232,Mochila,142.13,2024-02-24
11140,Cliente 235,Boné,259.72,2024-07-19
10521,Cliente 206,Mochila,274.76,2024-04-28
10421,Cliente 398,Camiseta,480.2,2024-01-15
10378,Cliente 58,Mochila,218.9,2024-05-30
10623,Cliente 237,Mochila,115.22,2024-02-29
10170,Cliente 65,Jaqueta,360.68,2024-07-23
10221,Cliente 367,Meia,231.24,2024-05-30
10099,Cliente 74,Meia,439.99,2024-07-15
10898,Cliente 107,Mochila,447.87,2024-02-24
10713,Cliente 235,Boné,248.55,2024-03-23
10499,Cliente 277,Camiseta,261.53,2024-04-22
10827,Cliente 75,Camiseta,493.61,2024-04-28
10552,Cliente 487,Tênis,408.63,2024-05-31
10743,Cliente 484,Camiseta,340.51,2024-07-03
10311,Cliente 89,Tênis,453.03,2024-03-22
10132,Cliente 234,Camiseta,122.47,2024-02-04
11022,Cliente 390,Meia,387.58,2024-05-24
10349,Cliente 317,Boné,72.39,2024-01-18
10007,Cliente 408,Camiseta,158.64,2024-06-18
10206,Cliente 446,Boné,461.95,2024-05-18
11188,Cliente 100,Mochila,179.91,2024-06-19
10502,Cliente 409,Camiseta,262.2,2024-05-10
10204,Cliente 225,Mochila,389.02,2024-01-22
10851,Cliente 122,Tênis,150.76,2024-05-18
10942,Cliente 451,Camiseta,262.8,2024-06-08
11184,Cliente 372,Meia,263.48,2024-02-10
10892,Cliente 21,Boné,393.88,2024-06-06
10806,Cliente 248,Tênis,363.07,2024-07-01
10958,Cliente 267,Boné,482.99,2024-07-20
10028,Cliente 186,Boné,234.04,2024-04-01
10881,Cliente 217,Jaqueta,294.52,2024-06-09
10448,Cliente 393,Boné,348.71,2024-01-04
10487,Cliente 169,Jaqueta,223.17,2024-05-15
10901,Cliente 287,Camiseta,160.84,2024-01-03
10189,Cliente 37,Boné,251.57,2024-04-02
10108,Cliente 15,Boné,242.55,2024-03-13
11090,Cliente 92,Meia,335.11,2024-03-18
10380,Cliente 195,Camiseta,463.85,2024-06-08
10890,Cliente 309,Jaqueta,380.37,2024-04-04
10377,Cliente 302,Mochila,480.68,2024-02-18
10522,Cliente 110,Jaqueta,231.34,2024-06-24
10022,Cliente 292,Meia,279.86,2024-01-18
10816,Cliente 439,Meia,357.62,2024-06-23
10574,Cliente 14,Jaqueta,345.46,2024-01-10
11135,Cliente 305,Meia,443.23,2024-05-14
11080,Cliente 219,Camiseta,358.86,2024-05-28
10205,Cliente 145,Mochila,263.16,2024-06-14
10093,Cliente 92,Mochila,367.39,2024-02-12
10747,Cliente 146,Jaqueta,224.68,2024-01-01
10224,Cliente 202,Tênis,203.6,2024-06-27
10936,Cliente 21,Meia,146.78,2024-04-13
10586,Cliente 379,Camiseta,439.14,2024-03-01
10719,Cliente 490,Jaqueta,247.42,2024-03-11
10423,Cliente 1,Boné,397.19,2024-06-19
10549,Cliente 92,Camiseta,215.12,2024-05-11
10253,Cliente 153,Camiseta,153.66,2024-06-05
10594,Cliente 136,Meia,137.98,2024-07-15
11187,Cliente 194,Boné,472.88,2024-06-03
11107,Cliente 381,Tênis,158.8,2024-06-19
10596,Cliente 261,Meia,332.02,2024-01-01
10853,Cliente 319,Boné,180.51,2024-07-08
10178,Cliente 461,Boné,362.75,2024-01-16
11130,Cliente 296,Boné,170.86,2024-01-24
10070,Cliente 123,Boné,96.69,2024-02-03
11002,Cliente 449,Tênis,327.15,2024-07-15
10999,Cliente 194,Boné,364.15,2024-06-14
10857,Cliente 455,Tênis,250.39,2024-02-16
10685,Cliente 221,Tênis,349.26,2024-06-09
10859,Cliente 467,Meia,90.15,2024-04-09
10128,Cliente 409,Meia,58.4,2024-01-08
10437,Cliente 149,Tênis,285.26,2024-05-22
10915,Cliente 123,Meia,313.04,2024-03-30
10048,Cliente 423,Tênis,154.55,2024-02-27
10211,Cliente 226,Tênis,153.38,2024-04-23
10529,Cliente 380,Boné,300.09,2024-02-18
10087,Cliente 412,Mochila,85.68,2024-04-20
10563,Cliente 126,Mochila,251.81,2024-03-22
10246,Cliente 46,Camiseta,100.46,2024-04-28
10585,Cliente 130,Boné,214.75,2024-05-23
10389,Cliente 201,Tênis,476.63,2024-03-21
10128,Cliente 409,Meia,58.4,2024-01-08
11138,Cliente 490,Mochila,289.82,2024-01-01
10516,Cliente 375,Boné,143.32,2024-06-19
10745,Cliente 192,Tênis,381.36,2024-01-13
10130,Cliente 371,Camiseta,149.54,2024-06-28
10455,Cliente 197,Camiseta,337.75,2024-03-03
11036,Cliente 487,Jaqueta,116.28,2024-04-24
10270,Cliente 138,Mochila,33.95,2024-01-09
10327,Cliente 202,Jaqueta,498.8,2024-04-15
10813,Cliente 468,Tênis,351.38,2024-07-05
10842,Cliente 439,Jaqueta,188.0,2024-05-29
10477,Cliente 255,Meia,390.7,2024-03-29
10428,Cliente 258,Jaqueta,235.28,2024-07-01
10562,Cliente 145,Jaqueta,265.36,2024-06-12
10927,Cliente 182,Meia,208.37,2024-03-18
10938,Cliente 353,Mochila,75.75,2024-05-27
10781,Cliente 496,Boné,493.65,2024-04-11
10155,Cliente 265,Jaqueta,369.91,2024-04-28
11183,Cliente 299,Meia,385.36,2024-04-24
10703,Cliente 265,Jaqueta,162.69,2024-04-22
11117,Cliente 468,Jaqueta,236.39,2024-02-28
10445,Cliente 381,Tênis,247.85,2024-04-11
11052,Cliente 32,Meia,354.5,2024-04-08
10030,Cliente 203,Tênis,408.91,2024-05-28
10618,Cliente 235,Jaqueta,170.32,2024-03-17
10509,Cliente 294,Meia,137.22,2024-01-16
10425,Cliente 12,Jaqueta,35.73,2024-04-20
10820,Cliente 282,Meia,444.4,2024-06-17
10194,Cliente 172,Mochila,232.54,2024-07-03
11115,Cliente 16,Tênis,334.5,2024-04-26
11114,Cliente 260,Camiseta,121.47,2024-07-18
11167,Cliente 465,Camiseta,342.28,2024-06-25
11075,Cliente 56,Boné,97.25,2024-07-05
11099,Cliente 404,Boné,401.5,2024-01-31
11069,Cliente 326,Boné,260.91,2024-04-17
10179,Cliente 324,Tênis,316.85,2024-06-02
11102,Cliente 361,Meia,381.41,2024-05-28
11139,Cliente 9,Meia,157.23,2024-02-02
11100,Cliente 115,Camiseta,307.3,2024-04-01
11102,Cliente 361,Meia,381.41,2024-05-28
10010,Cliente 308,Boné,120.58,2024-04-24
10354,Cliente 293,Meia,308.82,2024-05-26
10067,Cliente 360,Tênis,398.72,2024-06-04
10711,Cliente 397,Tênis,490.86,2024-02-21
10209,Cliente 139,Camiseta,219.44,2024-04-23
10145,Cliente 329,Mochila,57.5,2024-01-07
10498,Cliente 411,Tênis,414.95,2024-04-14
10415,Cliente 253,Meia,419.57,2024-07-06
10612,Cliente 323,Jaqueta,378.08,2024-07-05
10913,Cliente 208,Jaqueta,155.36,2024-06-17
11013,Cliente 140,Camiseta,284.52,2024-05-31
10922,Cliente 317,Meia,361.77,2024-05-19
10867,Cliente 111,Camiseta,318.29,2024-04-07
10092,Cliente 63,Boné,306.09,2024-03-10
10698,Cliente 86,Boné,440.32,2024-02-03
10214,Cliente 330,Meia,123.02,2024-03-03
10359,Cliente 329,Meia,369.86,2024-03-05
10769,Cliente 379,Camiseta,288.25,2024-05-10
10896,Cliente 261,Mochila,382.79,2024-03-13
10195,Cliente 278,Meia,311.04,2024-06-20
10296,Cliente 488,Camiseta,467.91,2024-06-13
11088,Cliente 270,Tênis,463.59,2024-02-28
10616,Cliente 445,Mochila,449.57,2024-05-25
10951,Cliente 142,Camiseta,205.64,2024-03-28
10749,Cliente 175,Boné,179.23,2024-07-27
10493,Cliente 14,Tênis,318.57,2024-02-28
10811,Cliente 284,Boné,58.1,2024-05-01
10360,Cliente 408,Tênis,274.18,2024-06-05
10784,Cliente 472,Boné,125.79,2024-03-31
11035,Cliente 142,Boné,433.36,2024-03-18
10819,Cliente 425,Tênis,294.57,2024-03-27
11134,Cliente 319,Meia,406.8,2024-07-28
10429,Cliente 53,Boné,189.57,2024-06-25
10385,Cliente 473,Boné,415.04,2024-07-08
10188,Cliente 300,Jaqueta,385.46,2024-06-24
10591,Cliente 79,Tênis,363.39,2024-07-26
11082,Cliente 472,Camiseta,212.29,2024-02-19
11142,Cliente 448,Mochila,407.78,2024-01-05
10086,Cliente 268,Mochila,341.47,2024-01-07
10034,Cliente 386,Meia,497.21,2024-05-06
10199,Cliente 493,Jaqueta,210.7,2024-03-18
10557,Cliente 308,Meia,318.61,2024-07-27
10948,Cliente 418,Mochila,237.59,2024-06-24
11121,Cliente 50,Mochila,107.1,2024-02-04
10347,Cliente 303,Mochila,440.2,2024-03-12
10468,Cliente 439,Camiseta,422.91,2024-04-24
10400,Cliente 395,Tênis,75.37,2024-06-19
10045,Cliente 193,Meia,224.56,2024-01-15
10940,Cliente 151,Boné,397.83,2024-01-17
11124,Cliente 239,Tênis,163.79,2024-04-08
10850,Cliente 241,Jaqueta,308.22,2024-04-30
10116,Cliente 304,Mochila,337.15,2024-03-10
10871,Cliente 353,Jaqueta,61.09,2024-06-17
10777,Cliente 91,Camiseta,98.78,2024-02-29
10000,Cliente 69,Meia,318.06,2024-02-07
10726,Cliente 179,Mochila,51.36,2024-03-16
10578,Cliente 301,Mochila,209.11,2024-07-01
10650,Cliente 181,Meia,178.31,2024-05-05
10005,Cliente 213,Jaqueta,80.78,2024-01-25
10763,Cliente 484,Mochila,158.95,2024-03-14
10663,Cliente 17,Tênis,334.74,2024-04-15
11082,Cliente 472,Camiseta,212.29,2024-02-19
10101,Cliente 186,Boné,463.41,2024-04-28
10506,Cliente 197,Camiseta,453.91,2024-05-29
10039,Cliente 204,Camiseta,391.89,2024-01-20
10869,Cliente 35,Jaqueta,76.67,2024-01-06
10431,Cliente 342,Jaqueta,277.85,2024-05-05
10016,Cliente 127,Meia,41.75,2024-01-14
10787,Cliente 52,Meia,210.36,2024-01-19
10427,Cliente 16,Camiseta,268.28,2024-05-08
10452,Cliente 410,Meia,216.05,2024-02-04
10868,Cliente 419,Tênis,160.66,2024-02-09
10148,Cliente 375,Tênis,493.65,2024-06-30
10124,Cliente 94,Camiseta,180.38,2024-04-02
10177,Cliente 77,Meia,486.77,2024-06-27
10136,Cliente 460,Meia,192.23,2024-03-30
10336,Cliente 372,Mochila,304.94,2024-03-31
10780,Cliente 334,Tênis,316.74,2024-01-10
10118,Cliente 233,Jaqueta,337.97,2024-05-25
10633,Cliente 14,Jaqueta,126.85,2024-03-25
10768,Cliente 281,Camiseta,73.88,2024-05-06
11158,Cliente 428,Camiseta,309.44,2024-07-26
10712,Cliente 292,Jaqueta,377.27,2024-05-22
10064,Cliente 170,Jaqueta,417.14,2024-04-19
10786,Cliente 196,Boné,227.34,2024-07-04
10774,Cliente 413,Camiseta,472.34,2024-06-06
10112,Cliente 458,Boné,148.95,2024-05-05
10192,Cliente 475,Meia,182.48,2024-07-09
10805,Cliente 120,Meia,46.1,2024-05-30
10393,Cliente 145,Boné,471.87,2024-07-22
10686,Cliente 23,Boné,391.99,2024-03-03
10590,Cliente 281,Jaqueta,411.68,2024-04-15
10762,Cliente 361,Tênis,131.79,2024-05-09
11029,Cliente 44,Mochila,498.03,2024-01-23
10792,Cliente 3,Mochila,334.82,2024-05-23
11151,Cliente 374,Boné,189.09,2024-07-03
10041,Cliente 117,Boné,313.03,2024-07-05
10358,Cliente 110,Tênis,436.03,2024-05-22
10297,Cliente 260,Tênis,350.39,2024-03-03
10832,Cliente 482,Tênis,226.49,2024-03-31
10465,Cliente 134,Mochila,87.38,2024-03-12
10410,Cliente 416,Jaqueta,324.19,2024-07-26
11031,Cliente 158,Camiseta,418.59,2024-04-27
10727,Cliente 333,Mochila,399.76,2024-06-26
11165,Cliente 389,Boné,182.1,2024-04-17
10761,Cliente 250,Tênis,85.59,2024-05-07
10760,Cliente 83,Camiseta,147.19,2024-07-18
11059,Cliente 131,Jaqueta,363.96,2024-07-25
10698,Cliente 86,Boné,440.32,2024-02-03
10420,Cliente 343,Boné,37.65,2024-02-06
10804,Cliente 426,Camiseta,431.46,2024-06-03
10847,Cliente 195,Tênis,404.61,2024-02-14
10990,Cliente 421,Camiseta,387.49,2024-03-06
10457,Cliente 118,Jaqueta,37.33,2024-05-07
10111,Cliente 79,Boné,452.14,2024-06-30
10649,Cliente 172,Meia,77.15,2024-04-18
